subj,sheet,roi,direction,td_ms,N_1,N_2,Hz_1,Hz_2
# BRAIN (20220622_BRAIN) — td=90ms
BRAIN,20220622_BRAIN,ALL,ALL,90,8,4,50,25
# BRAIN-3 (20230619) — td=120ms, 143.4ms
BRAIN,20230619_BRAIN-3,ALL,ALL,120,8,4,40,20
BRAIN,20230619_BRAIN-3,ALL,ALL,143.4,8,4,30,15
# BRAIN-4 (20230623) — td=76ms, 210ms
BRAIN,20230623_BRAIN-4,ALL,ALL,76,8,4,65,35
BRAIN,20230623_BRAIN-4,ALL,ALL,210,8,4,20,10
# LUDG-2 (20230623) — td=120ms, 143.4ms
LUDG,20230623_LUDG-2,ALL,ALL,120,8,4,40,20
LUDG,20230623_LUDG-2,ALL,ALL,143.4,8,4,30,15
# MBBL-2 (20230629) — td=120ms, 143.4ms
MBBL,20230629_MBBL-2,ALL,ALL,120,8,4,40,20
MBBL,20230629_MBBL-2,ALL,ALL,143.4,8,4,30,15
# MBBL-3 (20230630) — td=90ms, 210ms
MBBL,20230630_MBBL-3,ALL,ALL,90,8,4,50,25
MBBL,20230630_MBBL-3,ALL,ALL,210,8,4,20,10
# LUDG-3 (20230710) — td=90ms, 210ms
LUDG,20230710_LUDG-3,ALL,ALL,90,8,4,50,25
LUDG,20230710_LUDG-3,ALL,ALL,210,8,4,20,10
